中央及国际频道,#genre#
优漫卡通SD,http://39.134.136.205:6610/200000001898/460000089800010118/1.m3u8?IAS=
金鹰卡通SD,http://39.134.136.205:6610/200000001898/460000089800010107/1.m3u8?IAS=
嘉佳卡通SD,http://39.134.136.205:6610/200000001898/460000089800010102/1.m3u8?IAS=
哈哈炫动SD,http://39.134.136.205:6610/200000001898/460000089800010117/1.m3u8?IAS=
哒啵赛事HD,http://39.134.136.205:6610/200000001898/460000089800010120/1.m3u8?IAS=
CETV1SD,http://39.134.136.205:6610/200000001898/460000089800010103/1.m3u8?IAS=
CETV2SD,http://39.134.136.205:6610/200000001898/460000089800010104/1.m3u8?IAS=
CETV4SD,http://39.134.136.205:6610/200000001898/460000089800010105/1.m3u8?IAS=

购物及其他频道,#genre#
购物1HD,http://39.134.136.205:6610/200000001898/460000089800010097/1.m3u8?IAS=
购物2HD,http://39.134.136.205:6610/200000001898/460000089800010133/1.m3u8?IAS=
购物3HD,http://39.134.136.205:6610/200000001898/460000089800010132/1.m3u8?IAS=
购物4HD,http://39.134.136.205:6610/200000001898/460000089800010131/1.m3u8?IAS=
购物5HD,http://39.134.136.205:6610/200000001898/460000089800010089/1.m3u8?IAS=
购物6HD,http://39.134.136.205:6610/200000001898/460000089800010088/1.m3u8?IAS=
购物7HD,http://39.134.136.205:6610/200000001898/460000089800010130/1.m3u8?IAS=
购物8HD,http://39.134.136.205:6610/200000001898/460000089800010129/1.m3u8?IAS=
购物9HD,http://39.134.136.205:6610/200000001898/460000089800010134/1.m3u8?IAS=
购物10HD,http://39.134.136.205:6610/200000001898/460000089800010121/1.m3u8?IAS=
